i \in I,j \in M,d_ij
5,P29,246.3677445844899
5,P30,272.3620856569816
5,P31,236.49604572287592
5,P32,472.0748677312213
5,P33,416.70082150950503
5,P34,149.0221642979684
5,P35,145.32065066530924
5,P36,465.7859667293245
5,P37,127.26858864613726
5,P38,365.50503278616605
5,P39,135.4936172594445
5,P40,177.4176807611323
5,P41,103.28237985896584
5,P42,62.21282680553236
5,P43,121.03245035307303
5,P44,185.2456186354789
5,P45,53.24000571698039
5,P46,156.37967626129813
5,P47,246.58199528185824
5,P48,86.86588628274562
5,P49,85.15605675113015
5,P50,371.89940305038436
6,E1,297.183646828874
6,E2,167.1945886630969
6,E3,255.6624353779335
6,E4,236.2244713038122
6,E5,221.95495004120323
6,E6,242.7811480405308
6,E7,210.1545145456819
6,E8,168.64586292085968
6,E9,145.8932082224437
6,E10,165.14159341081285
6,E11,201.0511896418062
6,E12,301.4263437061623
6,E13,253.1312936389595
6,E14,146.99104757745985
6,E15,140.65436918682428
6,E16,281.6821236972977
6,E17,224.6941860533119
6,E18,89.93234716020532
6,E19,467.6013788585816
6,E20,487.9968361091411
6,E21,401.2557840799486
6,E22,442.631189400556
6,E23,467.0447095468455
6,E24,327.0214405273836
6,E25,469.63645134425985
6,E26,464.46585195629865
6,E27,430.7389362545806
6,E28,369.0714365097843
6,E29,370.059245467548
6,E30,362.5242553989771
6,E31,346.46057200622516
6,E32,385.6890020279532
6,E33,563.3206209235924
6,E34,414.5057150443764
6,E35,428.23439043897076
6,E36,455.0067900841364
6,E37,429.0071800528681
6,E38,579.6416105003728
6,E39,467.5039848827799
6,E40,443.7578078610441
6,E41,432.2395860418162
6,E42,446.91620188555066
6,E43,321.90638576890257
6,E44,382.8868444140311
6,E45,311.2647193421541
6,E46,178.63167302689692
6,P1,435.5642321253389
6,P2,232.57491758709546
6,P3,279.5582887605466
6,P4,420.3853925076712
6,P5,461.318493649909
6,P6,251.17851217945605
6,P7,277.3769435130656
6,P8,378.0102440345737
6,P9,383.5405779895855
6,P10,393.8947762823438
6,P11,312.28632310598607
6,P12,469.02502294857976
6,P13,464.42211085672994
6,P14,413.7578280903706
6,P15,437.50908485299755
6,P16,366.1211436721206
6,P17,429.0150895884687
6,P18,391.04374738258326
6,P19,399.9662818529721
6,P20,480.4883985920571
6,P21,468.3330340495989
6,P22,457.9678409685531
6,P23,478.66286611193294
6,P24,265.82628540608846
6,P25,449.5961562311156
6,P26,414.8014984254784
6,P27,382.0169088482935
6,P28,512.2545748693225
6,P29,460.46911865102396
6,P30,451.0009602776088
6,P31,437.84140197561385
6,P32,186.6812365770066
6,P33,74.70960003067782
6,P34,425.38439925157087
6,P35,504.98809835054436
6,P36,454.1070779595038
6,P37,367.9410103304937
6,P38,330.0885127520471
6,P39,363.2222580893162
6,P40,553.1135496522089
6,P41,486.7026764762121
6,P42,433.8591842984021
6,P43,483.87508537073137
6,P44,402.06087577985323
6,P45,445.14181917216195
6,P46,546.0071489567313
6,P47,447.6026637670618
6,P48,399.7042383542528
6,P49,436.6499727470538
6,P50,155.90788299868666
7,E1,305.01568144495235
7,E2,326.1440525309269
7,E3,267.60200067692824
7,E4,441.74356971492784
7,E5,439.897921417056
7,E6,433.4727915841099
7,E7,436.0750655264944
7,E8,598.9395296997394
7,E9,595.1122811678807
7,E10,614.3478433049996
7,E11,674.3333505290017
7,E12,669.5539578560004
7,E13,626.1299459082963
7,E14,506.8833815041545
7,E15,528.3612040756404
7,E16,574.2286806555245
7,E17,450.82389920709215
7,E18,471.0197095064332
7,E19,665.5831970883748
7,E20,685.2839912338591
7,E21,637.5665375933257
7,E22,663.8466973486582
7,E23,688.8255993467641
7,E24,632.5847396577624
7,E25,651.4983676432312
7,E26,645.093252254476
7,E27,571.2649740785454
7,E28,553.3732695809373
7,E29,616.6850267600881
7,E30,455.0463791131679
7,E31,432.3859355637695
7,E32,477.2161790983014
7,E33,611.6919876129421
7,E34,457.26428471702593
7,E35,430.1519817905631
7,E36,381.23944815541984
7,E37,367.35853873413373
7,E38,496.20585745992327
7,E39,117.80918349240658
7,E40,113.59939250839922
7,E41,198.3076776465558
7,E42,281.9907412707989
7,E43,221.65580508392765
7,E44,107.73355128793081
7,E45,330.36441770809597
7,E46,332.8456995078029
7,P1,196.59496767899947
7,P2,439.72662334539666
7,P3,575.2847512590728
7,P4,644.2678522249022
7,P5,623.4718000715436
7,P6,642.3732850489524
7,P7,678.2808769342918
7,P8,433.45715686040074
7,P9,448.65863052880485
7,P10,627.6873965690581
7,P11,312.92587540186935
7,P12,688.9134306314671
7,P13,671.379739869861
7,P14,635.340576157736
7,P15,664.1602719863048
7,P16,463.33998094898493
7,P17,665.1277445899177
7,P18,463.4330850456732
7,P19,154.87942666937187
7,P20,520.9428660556094
7,P21,445.3294447108503
7,P22,642.7587684635841
7,P23,521.7484937810868
7,P24,578.0349721963747
7,P25,653.4955377223461
7,P26,659.429075912464
7,P27,619.9887384306197
7,P28,717.0914652995735
7,P29,384.53462401433836
7,P30,346.09143250054655
7,P31,374.5811725893518
7,P32,321.8160721300062
7,P33,410.41194425978415
7,P34,450.2885649368136
7,P35,708.5947647532112
7,P36,130.06136267861837
7,P37,642.5555954182132
7,P38,215.1353270006856
7,P39,438.4920927180419
7,P40,597.369821521848
7,P41,667.2437673806476
7,P42,624.3081865999203
7,P43,683.3085633310926
7,P44,409.6842948076084
7,P45,608.5743321440345
7,P46,708.9420846567883
7,P47,369.2935470979934
7,P48,490.9047105970866
7,P49,637.1699571430672
7,P50,605.7375748602182
8,E1,572.7048238669566
8,E2,415.02032583548043
8,E3,488.2908475738763
8,E4,604.374395629598
8,E5,588.3883776954391
8,E6,600.0067788937733
8,E7,577.8661372464406
8,E8,583.7369162506267
8,E9,432.43956173255856
8,E10,429.08745047228837
8,E11,500.184544490878
8,E12,339.61689785048264
8,E13,335.50177239978353
8,E14,315.00887355055124
8,E15,331.5450319720967
8,E16,235.46872239367246
8,E17,207.87622613251224
8,E18,348.61074631390653
8,E19,205.57460857236862
8,E20,221.41187027070438
8,E21,199.99616164721286
8,E22,210.33779841686047
8,E23,227.725733321824
8,E24,261.687540362961
8,E25,187.80989597111824
8,E26,169.3459410567393
8,E27,98.99792179581927
8,E28,119.46276866930427
8,E29,196.4290257324008
8,E30,67.79803426538702
8,E31,93.35142534926139
8,E32,46.85488880368855
8,E33,154.58543651757384
8,E34,38.48904844371423
8,E35,66.76336750874407
8,E36,140.26846590335145
8,E37,136.73232226959476
8,E38,183.1363427573121
8,E39,385.6139206901032
8,E40,381.0372582773932
8,E41,296.40881632364335
8,E42,224.22686162577503
8,E43,291.01326330129206
8,E44,403.9374898690785
8,E45,181.0929065609185
8,E46,309.09654358013097
8,P1,310.535858699442
8,P2,595.5401685079313
8,P3,231.3626392368028
8,P4,202.79185823081255
8,P5,151.3200832197266
8,P6,349.5414052657328
8,P7,383.9072196524342
8,P8,62.57156616451356
8,P9,49.4991977433368
8,P10,191.70341131994266
8,P11,578.1728826905654
8,P12,230.46424381419587
8,P13,204.39848606501653
8,P14,185.36108921034204
8,P15,213.1192157499834
8,P16,66.37912096613357
8,P17,216.91198546957173
8,P18,38.78441804293321
8,P19,339.28064012353514
8,P20,63.41736134764634
8,P21,81.28849407633436
8,P22,177.33635318751172
8,P23,57.812025694645236
8,P24,251.78125675064547
8,P25,193.23985401212832
8,P26,221.00750440832064
8,P27,198.79837751153775
8,P28,250.863707147973
8,P29,132.30867265865731
8,P30,160.06149578340504
8,P31,128.701454750879
8,P32,458.6027205182704
8,P33,423.3811571155768
8,P34,46.438260215117204
8,P35,235.6588442584424
8,P36,373.81551278029605
8,P37,233.51122605317727
8,P38,294.7264140155487
8,P39,70.74902539261855
8,P40,142.25720714282812
8,P41,193.27656279383834
8,P42,164.014792456493
8,P43,217.37796138822983
8,P44,89.49901802026089
8,P45,143.37785942783623
8,P46,224.44649211055085
8,P47,143.64771516059776
8,P48,42.95853429210257
8,P49,190.30914206068132
8,P50,425.0286846295158
9,E1,252.23476364138182
9,E2,194.50993577547322
9,E3,173.19727774660024
9,E4,356.71285465603336
9,E5,345.46313932426364
9,E6,344.8183934502041
9,E7,342.15035626342103
9,E8,469.3017369323795
9,E9,450.86866208624883
9,E10,467.90151238190253
9,E11,516.9465253947795
9,E12,517.7602514704588
9,E13,473.8172445385688
9,E14,351.44358251121486
9,E15,369.8751543905275
9,E16,420.40901784945316
9,E17,305.9817376592194
9,E18,319.4894524759109
9,E19,532.9382707148143
9,E20,559.1693647802203
9,E21,494.71139692883895
9,E22,528.5734818535853
9,E23,557.7319275643764
9,E24,479.8382913577794
9,E25,528.5932299348104
9,E26,509.9321874882524
9,E27,446.9019367153306
9,E28,416.3699282159504
9,E29,476.961976093481
9,E30,327.67468629941
9,E31,307.5885701611275
9,E32,357.3371709540471
9,E33,516.432745893236
9,E34,348.08318949617137
9,E35,329.141082615748
9,E36,302.1155333499381
9,E37,282.6891846855375
9,E38,426.978661534027
9,E39,150.27037611919314
9,E40,121.43047082366161
9,E41,151.40721610656942
9,E42,224.02516443469614
9,E43,94.80361033772515
9,E44,63.108447247980614
9,E45,197.52839948152914
9,E46,179.37616099222043
9,P1,155.25315800851527
9,P2,346.3860648350615
9,P3,428.1530455024299
9,P4,509.2291981984929
9,P5,494.7223627319567
9,P6,488.350941192129
9,P7,530.2220395104624
9,P8,310.50524868266206
9,P9,327.31970834335493
9,P10,484.86515265697017
9,P11,256.1572238153658
9,P12,550.167716106848
9,P13,541.946799204259
9,P14,492.638194954972
9,P15,531.8389511566112
9,P16,328.835867554449
9,P17,531.0193045748123
9,P18,347.5333305018563
9,P19,92.75025768083829
9,P20,416.9700024347279
9,P21,351.1817334363784
9,P22,512.3843391729163
9,P23,415.38923470012884
9,P24,420.3677733267227
9,P25,523.0385305692193
9,P26,518.8491642581371
9,P27,476.3019818735023
9,P28,586.713205036507
9,P29,308.54297914603126
9,P30,271.0423351183125
9,P31,278.17302109303137
9,P32,199.62911206080022
9,P33,269.9633503794528
9,P34,336.3491745355873
9,P35,577.1088634058391
9,P36,135.6322249466358
9,P37,491.7791433109568
9,P38,80.97474732955622
9,P39,317.65596366418634
9,P40,498.5712066356538
9,P41,535.1527666727001
9,P42,494.00121320791675
9,P43,555.1239992506628
9,P44,301.0562217319195
9,P45,477.04421534323694
9,P46,580.3503463705341
9,P47,280.53220741267603
9,P48,368.2885202660009
9,P49,506.8254803775404
9,P50,458.0349419137557
10,E1,253.68248592831395
10,E2,188.62955788988364
10,E3,177.82309105215
10,E4,352.2265480810423
10,E5,341.0735075816582
10,E6,341.6592334080781
10,E7,337.00720841187564
10,E8,468.75930199176815
10,E9,441.84870776008097
10,E10,464.5070145554844
10,E11,516.8760279391029
10,E12,511.03824622423815
10,E13,468.9551505007596
10,E14,348.76278388090805
10,E15,364.66303374978366
10,E16,418.76383523762814
10,E17,298.8184251566294
10,E18,317.19263215331796
10,E19,532.3407280972116
10,E20,556.5376240960087
10,E21,492.89214756423667
10,E22,526.381180623835
10,E23,553.2568403457234
10,E24,481.6509101792438
10,E25,518.7841743037748
10,E26,510.1030389212882
10,E27,435.2157483449643
10,E28,408.44586716735273
10,E29,472.87577528731754
10,E30,328.8946268425712
10,E31,298.42979418821636
10,E32,354.09562776963236
10,E33,513.1008302956989
10,E34,339.330841923258
10,E35,327.1081260602125
10,E36,302.22541224010405
10,E37,272.47846995385964
10,E38,425.46808548068424
10,E39,156.4894156540892
10,E40,122.06667324312129
10,E41,149.74398137174813
10,E42,219.29186141593533
10,E43,87.7044408035228
10,E44,60.3288450320452
10,E45,193.83561732605722
10,E46,169.70534170279652
10,P1,154.73624900551542
10,P2,350.7507306916446
10,P3,417.1472401855172
10,P4,509.8786576026069
10,P5,487.3270235153195
10,P6,481.54626078137017
10,P7,523.1706534409361
10,P8,314.9908282152499
10,P9,319.63078805831674
10,P10,486.0866989200538
10,P11,253.93483440795353
10,P12,552.0132077772427
10,P13,539.8410513013806
10,P14,489.8349350783886
10,P15,520.9383038423483
10,P16,325.8375280029481
10,P17,520.6422450340972
10,P18,344.9322320737535
10,P19,93.70958997809242
10,P20,419.09526393698854
10,P21,345.72434314348595
10,P22,515.3742788336648
10,P23,408.5334351212196
10,P24,416.4715013615329
10,P25,519.8558862325813
10,P26,520.9012002647042
10,P27,477.0328558217706
10,P28,578.5293063629326
10,P29,302.54650470151677
10,P30,262.9737178016626
10,P31,281.78853000592693
10,P32,202.0501717619069
10,P33,272.73047754972
10,P34,335.98748788543594
10,P35,566.8037065468185
10,P36,144.00596973824798
10,P37,488.12481581203633
10,P38,73.63448195910617
10,P39,310.6441268227083
10,P40,491.75126667714176
10,P41,529.346395137125
10,P42,495.8420446706126
10,P43,550.1153410442594
10,P44,298.04860848674736
10,P45,478.0208026220196
10,P46,580.67297610895
10,P47,275.37854282504566
10,P48,367.8124360275407
10,P49,507.3603543691761
10,P50,453.916574457007
11,E1,611.8123424903865
11,E2,447.74774387785374
11,E3,545.944724013143
11,E4,558.3064091708492
11,E5,549.4730455818336
11,E6,559.1516743889437
11,E7,527.4589190165384
11,E8,420.6411899255614
11,E9,216.95992766377302
11,E10,199.2121837752594
11,E11,247.48664906385466
11,E12,34.331625552920684
11,E13,76.87974119879482
11,E14,204.8514817198332
11,E15,206.31637203329274
11,E16,139.33134652434785
11,E17,250.9052200922658
11,E18,272.34053477634683
11,E19,240.12631475751664
11,E20,248.64689484542254
11,E21,191.53415913456593
11,E22,205.4983096989865
11,E23,213.86632452663335
11,E24,99.85568262360894
11,E25,259.9833565954742
11,E26,258.81549898624536
11,E27,293.55005054549923
11,E28,233.4977320743059
11,E29,169.46379363120462
11,E30,313.8231879705059
11,E31,327.14497264900535
11,E32,319.80873887663455
11,E33,414.00390487477864
11,E34,373.0594658391308
11,E35,401.103473952069
11,E36,466.52584462609565
11,E37,447.859318126119
11,E38,522.0228633960135
11,E39,639.4395218989455
11,E40,617.7863684563404
11,E41,555.6430672698763
11,E42,522.8711374870898
11,E43,478.2158156357518
11,E44,593.7034818653349
11,E45,400.08422299903975
11,E46,384.738715073329
11,P1,565.7220551204194
11,P2,555.1053588926526
11,P3,131.01841760692758
11,P4,193.7155560981805
11,P5,270.700195626746
11,P6,77.19115244870305
11,P7,70.82601226543476
11,P8,351.5082378108855
11,P9,341.4942536618172
11,P10,182.90929111049127
11,P11,622.6277056146603
11,P12,218.7563118525126
11,P13,236.0758534444618
11,P14,201.10667842721114
11,P15,208.91110386704491
11,P16,319.15486242326443
11,P17,196.99114355232376
11,P18,337.26793959445104
11,P19,566.1153184769199
11,P20,385.68168689908936
11,P21,430.60167400305215
11,P22,250.93164621936157
11,P23,381.9155561943197
11,P24,126.31421323140455
11,P25,229.95366430462337
11,P26,183.08970487646397
11,P27,177.3323212490022
11,P28,256.56712844678407
11,P29,463.596934224429
11,P30,483.2006107269542
11,P31,446.7964040628333
11,P32,479.2714458851321
11,P33,386.9048566687943
11,P34,375.2497626108337
11,P35,265.2121312853743
11,P36,620.2963175051763
11,P37,140.4377511548048
11,P38,495.1498393320464
11,P39,332.6613469167477
11,P40,415.8387049384968
11,P41,266.0960651893253
11,P42,243.54880861539127
11,P43,247.53536591189913
11,P44,397.6219577875895
11,P45,262.8510059645601
11,P46,310.96902798583557
11,P47,465.9919496643354
11,P48,320.6955800240271
11,P49,222.24889244278512
11,P50,214.09571775113542
12,E1,191.773144857229
12,E2,58.71604547254458
12,E3,134.96314561331835
12,E4,166.411675944651
12,E5,155.8392443588149
12,E6,163.51135296379917
12,E7,140.81738754911734
12,E8,233.36959988223353
12,E9,257.9958125642143
12,E10,284.99905215601524
12,E11,317.8076623369576
12,E12,400.15910862923744
12,E13,356.69620772540236
12,E14,225.70605074554427
12,E15,228.6401979967366
12,E16,356.1079073324586
12,E17,256.4937994283811
12,E18,170.55607602017048
12,E19,531.8255034859906
12,E20,551.4172394429282
